date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:55	2043/2043	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Feb%202024%2021:38:02%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/instagram.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/instagram.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:56	12256/12256	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Feb%202024%2021:38:12%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/linkedin.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/linkedin.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:56	741/741	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2027%20Jan%202024%2016:01:22%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/logo/circle-logo.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/logo/circle-logo.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:56	549/549	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2005%20Feb%202024%2004:48:24%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/home.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/home.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:56	944/944	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Feb%202024%2000:24:34%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/email.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/email.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:57	788/788	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Feb%202024%2000:24:48%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/phone.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/phone.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:57	19231/19231	---M--	200	added ('OK')	image/png	date:Sat,%2017%20Feb%202024%2017:17:44%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/content/code-dark.png	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/content/code-dark.png	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:57	197/197	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Feb%202024%2021:38:38%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/arrow-top.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/arrow-top.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:57	20716/20716	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2002:45:30%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/about.html	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/about.html	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:58	1816/1816	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2005%20Feb%202024%2004:48:48%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/about.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/about.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:58	20739/20739	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2002:45:30%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/service.html	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/service.html	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:58	3347/3347	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2005%20Feb%202024%2004:50:02%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/service.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/service.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:59	23885/23885	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2002:45:30%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/portfolio.html	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/portfolio.html	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:59	695/695	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2005%20Feb%202024%2004:50:52%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/portfolio.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/portfolio.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:59	25215/25215	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2002:45:30%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/education.html	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/education.html	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:27:59	895/895	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2005%20Feb%202024%2004:49:12%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/education.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/education.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:28:00	30322/30322	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2002:45:30%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/pricing.html	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/pricing.html	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:28:00	15562/15562	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2005%20Feb%202024%2004:51:26%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/pricing.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/pricing.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:28:00	21262/21262	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2002:45:30%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/blog.html	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/blog.html	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:28:00	519/519	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2005%20Feb%202024%2004:52:10%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/blog.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/blog.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:28:01	469/469	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2005%20Feb%202024%2004:52:24%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/contact.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/contact.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
11:28:01	300/300	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2017%20Feb%202024%2003:06:08%20GMT	https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/x-lg.svg	C:/zz/yassmin/creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/assets/img/icons/x-lg.svg	(from https://creativemela.com/themeforest_html/axz_personal_portfolio_html_template/axz-portfolio-dark/index.html)
